id,met_001,met_002,met_003,met_004,met_005,met_006,met_007,met_008,met_009,met_010,met_011,met_012,met_013,met_014,met_015,met_016,met_017,met_018,met_019,met_020,met_021,met_022,met_023,met_024,met_025,met_026,met_027,met_028,met_029,met_030,met_031,met_032,met_033,met_034,met_035,met_036,met_037,met_038,met_039,met_040,met_041,met_042,met_043,met_044,met_045,met_046,met_047,met_048,met_049,met_050,met_051,met_052,met_053,met_054,met_055,met_056,met_057,met_058,met_059,met_060,met_061,met_062,met_063,met_064,met_065,met_066,met_067,met_068,met_069,met_070,met_071,met_072,met_073,met_074,met_075,met_076,met_077,met_078,met_079,met_080,met_081,met_082,met_083,met_084,met_085,met_086,met_087,met_088,met_089,met_090,met_091,met_092,met_093,met_094,met_095,met_096,met_097,met_098,met_099,met_100,met_101,met_102,met_103,met_104,met_105,met_106,met_107,met_108,met_109,met_110,met_111,met_112,met_113,met_114,met_115,met_116,met_117,met_118,met_119,met_120,met_121,met_122,met_123,met_124,met_125,met_126,met_127,met_128,met_129,met_130,met_131,met_132,met_133,met_134,met_135,met_136,met_137,met_138,met_139,met_140,met_141,met_142,met_143,met_144,met_145,met_146,met_147,met_148,met_149,met_150,met_151,met_152,met_153,met_154,met_155,met_156,met_157,met_158,met_159,met_160,met_161,met_162,met_163,met_164,met_165,met_166,met_167,met_168,met_169,met_170,met_171,met_172,met_173,met_174,met_175,met_176,met_177,met_178,met_179,met_180,met_181,met_182,met_183,met_184,met_185,met_186,met_187,met_188,met_189,met_190,met_191,met_192,met_193,met_194,met_195,met_196,met_197,met_198,met_199,met_200
P0001,3.916978169,,1.031226695,1.598472998,0.503300585,1.592057085,,1.395258523,1.906873599,0.764398732,2.534623689,3.014097583,1.282016267,2.445543336,1.458943219,0.474666845,0.24000674,0.886515427,0.598656438,0.915365574,1.358769126,0.829703523,,0.844659315,,0.535387785,,0.225013977,0.992790433,0.581664663,,0.470896067,0.387731135,0.880153757,0.470153826,0.435050412,1.043734649,0.895747999,0.769425596,0.392137961,0.770123842,1.065839614,0.563539411,0.262660037,0.764387452,1.300077964,,0.463718808,0.95423444,1.052918743,1.100145291,2.182762414,1.889650935,2.803972829,0.837139399,0.551842832,1.504086449,0.932629163,,1.099493185,1.168760344,0.433587039,1.851874579,0.39242743,0.26897382,1.00719693,1.550263843,0.743514694,0.825538455,1.050538529,1.494363574,0.17866598,0.538468784,0.248575504,1.610021438,1.323004503,,0.871823427,1.053104667,0.464408639,1.405953056,1.844278443,1.361166675,0.605305082,1.247484879,0.390616261,0.698312649,0.772179736,0.808098458,0.512225901,1.278349522,,0.537995661,0.901925023,0.41198615,0.927848518,0.338867422,1.016369219,0.576118872,1.317848792,0.778934094,3.130473674,0.569285814,0.587599599,0.186697918,0.436171763,0.383086829,0.913656448,0.895518841,1.147535697,0.526811571,0.413613165,0.276893595,0.982724895,0.70204934,0.612493508,,0.980694474,1.037248538,,0.578481419,1.580932805,1.194454409,,0.484389441,1.424455735,1.03421688,0.754042429,1.54875605,,0.420104457,1.287401625,0.361142981,1.737540115,1.035604822,0.419253771,0.705542615,,1.627350095,1.428282665,2.465781241,1.784556569,0.603050644,0.449729965,1.018585324,1.687427635,0.407306455,0.446359545,0.315314872,,0.759900984,1.567359113,,,0.388738558,1.584742265,1.037596181,0.468681599,0.779213688,0.607919322,0.716620036,1.323637038,0.556578038,0.196713726,0.49070342,0.136370654,0.434026968,0.289217566,1.405250346,0.354679447,0.182682071,0.199269682,0.446819432,0.176477728,0.433166067,0.35510618,0.179889842,0.866514989,0.299277126,0.348210414,0.264908535,0.493683521,0.330405185,0.392233162,0.277814382,1.67112109,0.629852078,0.166890193,0.352415287,0.547517485,0.431599406,0.593323861,0.471761006,1.418277787,0.462172997,0.540556892,0.491459846,0.279465068,0.572472635,0.241742737
P0002,11.50005396,,2.512809804,13.33469096,11.77633787,8.848551744,2.973401849,7.374372624,,9.905291434,4.512086906,24.15364721,7.396312705,4.835447026,6.984696707,4.798885607,2.767115722,5.157036434,6.775768669,3.406658242,1.743754032,1.90353896,2.440033695,3.572139626,1.587761657,3.136511975,,10.17299772,5.8132272,,3.016453982,3.376693973,4.557188076,3.942063274,3.039036248,2.655245825,2.884891183,2.74760452,5.005334518,14.92236038,1.388344237,2.583630263,3.267015652,1.763195746,0.744276641,,1.235403123,2.089758219,1.189243247,1.204537764,0.385421775,0.467270918,1.410893777,0.756752325,0.640232718,1.022182343,0.510910651,,1.203828248,0.478168776,0.888786933,,1.903711767,0.505148631,0.651504622,0.67465106,0.865859025,0.453010324,1.624748554,,1.166713266,0.640267665,0.744073779,1.619607209,0.655346414,1.322942007,0.855210638,0.472095658,1.315712639,,0.411430258,0.344299368,0.461686894,0.477440975,0.460244583,0.593862664,0.31638213,0.280917707,1.346945952,0.259299288,2.294880462,0.472250704,0.423447887,0.584188279,0.342318531,0.129718008,0.826544692,0.488323139,0.509000739,0.355064647,0.448894627,0.621376346,0.316518378,0.61686595,1.585970008,0.500492823,1.170702706,0.850063522,0.655875857,0.219705346,0.557094626,0.652247057,1.486172378,0.468699947,0.121197319,0.231278153,0.433252943,0.498380934,1.048832726,0.988027034,0.744980983,1.866658608,0.569145946,0.70473061,0.558170842,0.701851668,0.564773151,0.546236737,0.497933868,1.954397113,0.915462488,0.885711123,1.912182744,,1.699543546,0.380917792,0.507521859,0.227091818,0.153323605,0.399861255,0.294569692,0.63256184,0.861248517,0.813171918,0.438554381,0.934699124,2.582725461,1.6872744,0.932393472,0.986646558,0.570644221,0.742788501,0.906135749,0.601414299,0.608130427,0.383670521,1.541519966,0.449201358,3.6377764,,1.177017498,0.189854902,0.621249852,0.905186816,0.67602465,0.56135839,0.364091244,0.762564966,0.324187234,0.363749073,0.502022025,0.576139963,0.888420736,1.193380199,1.004430503,0.809154808,0.646035873,1.511717919,1.411210495,0.884718665,0.841986796,0.552117785,0.980860124,,0.712771697,2.215297418,3.488530776,0.357846074,1.895379725,2.203486692,0.433081152,0.868531831,0.748319073,0.169983304,1.980715546,0.736488248,1.179510146,0.662351751,,1.189041425
P0003,4.195280991,1.395468221,3.255330311,1.741392299,3.889402693,5.815118572,1.613408697,1.225566025,3.491953569,1.215359968,1.727321569,3.539041129,4.634587026,9.313091963,5.095961544,0.760325915,0.299454603,1.807320451,0.826974956,0.831044376,0.594455404,1.317424438,1.009130767,0.745408813,1.402592613,0.829760573,1.591970513,2.205402206,0.899724946,1.913339869,0.911211336,1.19388944,0.683190356,2.550730729,3.071665354,0.3838337,1.774400981,0.675105071,0.670473987,1.504910161,0.664960137,1.308305961,1.104180431,2.614536319,1.648561831,1.271655343,1.579632174,0.799742099,1.765617303,0.497420137,0.670152435,1.49427893,0.713620629,0.87173971,,1.442876249,5.689087569,1.234809756,1.664919756,1.871245128,,,1.380492413,0.757113946,1.220017458,,1.565714535,1.159615165,3.3772116,1.774540867,1.261839566,2.408424491,1.359392732,0.56111121,0.905961256,0.637963038,0.646558864,1.751535416,1.157858592,,0.632561356,,0.882786232,1.324619493,0.176317701,0.867493112,0.899695607,0.751283681,0.343447887,0.688466677,,,0.604606456,0.605306493,0.514802406,1.614442062,1.33388239,0.250849227,0.439085479,1.551658003,0.696159438,0.988597555,0.584171931,0.473108558,0.554096333,0.478931871,0.542714893,0.331181757,1.518429837,0.381643789,0.284697332,0.526364814,0.100369448,0.847325313,1.017878415,0.716729964,0.452329388,0.334894574,0.443783747,,1.084544716,1.25284451,0.6139782,0.878258414,0.693805427,1.68853925,1.916090079,0.534238543,0.696428129,0.986775765,0.900304373,1.024762284,0.386091279,1.80434329,0.955417723,0.487013712,0.563504319,0.543737859,0.889386251,0.979517947,1.335780115,1.600274113,0.850811454,0.496757118,0.688096031,0.758956176,0.492826507,0.584140298,0.712135359,1.688049107,0.738374864,,0.94327319,1.136205502,1.321298305,1.59442916,1.110836334,0.661618713,0.931388673,0.981811355,2.134072194,0.545839475,1.86122073,0.638582668,0.62367376,1.454543259,0.354778819,0.578365353,1.810429632,0.63433013,1.550065931,0.422724824,1.378740394,1.615582923,0.622777992,1.387928831,,1.733812682,0.60621291,1.776390411,,,0.328748202,0.90664028,0.702278,0.763435571,0.772973101,0.817114569,0.918243553,0.964725075,1.345668018,0.417829039,1.223596662,1.490128914,0.714548534,1.321074266,0.826746326,1.530559332,3.146308833,1.075815109
P0004,,0.749463573,3.066107867,,4.190246542,0.984556207,2.130179203,1.525215979,3.424798672,0.950009224,3.541434227,,1.88295115,3.823423392,2.01559021,0.602938875,0.568912081,0.3503921,0.576433788,1.373795367,1.014564201,0.609695206,1.435625134,0.49711588,0.388492407,0.738894009,0.665242396,0.521701294,1.650573602,0.713958413,1.411034719,0.743997623,0.371371362,0.691298804,1.582446189,0.396297116,0.792016329,0.4690947,0.995608256,1.323529371,2.353410501,2.412087829,1.323552158,4.245606538,10.67242036,2.95731968,2.527428023,5.226744828,3.781550117,,1.53103169,4.730241577,4.221777669,0.655483267,2.312459875,2.102042722,2.464591243,2.489620295,3.293980092,1.60842028,1.153912185,5.74925279,1.9366008,1.982561871,1.412695924,1.150384113,2.082854868,1.825800796,2.067269234,1.607692463,1.511952957,,2.168652254,3.746090178,1.606466605,2.586983367,,1.831140274,1.911884426,3.221597384,0.393885374,0.433450161,2.860084065,1.448838403,2.477859945,1.850419309,1.943907612,1.657798307,2.129478679,2.640937019,1.990008537,,0.43770299,1.03371892,1.864976535,1.342904334,0.595737054,3.405727002,2.349526237,2.083438522,1.039709941,0.960191943,2.238799399,0.840476307,1.159140427,0.38525631,0.519365459,0.467978662,0.986570138,1.433523573,1.017540127,0.9172296,2.487491994,0.454237117,0.608103293,5.156309645,1.180064887,1.272932957,0.69675216,2.14591326,0.750589782,1.083249591,0.377016156,0.82050344,0.880528034,0.770118366,,1.366384062,3.196696767,2.11915973,0.800598783,0.605793285,0.503224095,0.416438518,1.415124129,1.038441955,0.409301412,0.674462767,1.073019259,1.395329704,0.554134724,1.927647605,,,,1.537099258,0.200951059,0.507556067,0.396897014,1.805631506,1.012508883,0.940116657,0.801221369,0.805869433,1.274258075,1.143592242,1.073874349,0.332968539,2.841295222,0.87821893,1.918041704,0.682862159,0.40211125,0.777597981,0.951056431,0.719325996,0.278752379,1.14216816,0.377207407,0.477071925,2.443861644,1.698087679,,0.963802201,0.500615744,0.595166452,0.869807623,0.439012741,0.316172158,0.41937147,1.311926607,1.539144942,,1.612990278,0.84240864,2.042049447,0.701022213,0.428715098,0.502102056,0.682844942,1.824810688,0.327162177,0.861412999,0.411318321,0.615164753,0.698444324,1.161489957,0.379741215,0.513253046,0.850438551
P0005,1.939045395,1.097228811,1.22762906,1.344054129,3.471546124,3.055446824,1.249925263,1.534987174,1.650474292,,1.721216684,2.334955688,1.236780405,1.57917474,1.316473508,0.273101008,1.015089929,0.657197102,0.844283409,0.332045058,,0.200817004,1.279139974,0.544250377,0.595336406,0.949282342,0.175809108,,0.472431003,0.838928399,0.634955502,0.372172817,,0.460301164,,1.349538498,0.174948739,1.219177101,0.394712545,0.820823362,0.501685622,2.194632618,1.733479893,0.399027815,0.905363454,1.434756344,1.78903052,0.860369512,0.760869664,,1.727713021,2.148236484,0.621224085,1.342615659,1.042566796,1.001045324,2.121572143,2.312188522,1.078911903,1.002052429,0.5170986,0.532976972,1.126712812,0.589894991,1.101225664,0.236684092,0.870448674,0.560684339,0.831458618,0.986205441,1.157755264,0.759207352,1.764179716,1.26291646,3.570268083,0.761162106,1.7266985,0.418657177,1.88796651,1.984336953,2.059301308,1.842172454,1.587706665,3.947586489,1.697197552,4.21790778,1.467366149,0.482043849,1.226705714,4.553178332,1.177551358,2.172804964,,1.3090585,3.15480089,1.293963164,0.977645403,2.279158987,2.01111636,1.587146317,2.278224178,1.131691452,,2.941096443,2.822725305,2.562753888,1.190711576,1.044406448,4.554491807,0.521681538,5.124419079,,3.742710719,2.165304923,4.09168784,3.212862809,1.133472328,2.741398577,2.127619363,1.650573158,1.200319662,0.996770893,2.781546044,0.94599064,0.820220307,2.853549371,1.091485496,3.738674621,3.261365904,0.622357252,1.21267931,0.617504904,1.739178474,1.309464864,1.313905684,0.459540892,2.419976031,1.889003203,4.044892185,2.377235072,0.837629816,1.286198185,1.64532604,2.717187285,1.936439529,1.219450416,2.978360656,3.252325766,,6.153846268,,0.659731545,1.661831128,2.481096275,1.909806758,3.010546989,,2.671493991,2.930898879,2.843218143,0.771812216,2.346696784,0.548750188,,0.883076783,1.169973543,0.220813256,1.726415745,,1.839752844,1.133124264,1.50238873,0.816173687,0.509157292,0.76495761,1.566239566,3.116989463,1.282171939,0.759885215,1.362289297,0.360838366,0.321565458,,1.032039854,0.526862735,0.647800018,0.348971123,1.189809741,0.403087283,1.094797635,0.938604854,1.074614802,0.387440532,0.696709156,1.200238154,1.099089436,0.681656908,1.854788957,0.352225089,0.77377573
P0006,1.909956699,1.345385149,2.095215882,0.767071765,,1.087745451,0.573552128,0.773275842,0.617194345,2.069206809,1.410567583,3.229132586,3.355747312,2.407071517,0.976546232,1.087029288,0.549727322,0.447175538,0.704170211,0.268437095,0.506815228,0.638210341,0.812561414,0.611649513,0.828991437,1.059506367,0.546208991,0.630201269,0.420239377,0.183399881,0.433531327,0.366720842,0.53092871,0.744396576,0.291557886,0.581231118,0.287065695,,0.538535799,1.360738628,5.533108986,6.18699019,,2.148729277,2.548496922,4.882780903,2.287597111,1.655663635,,1.83332935,1.924955325,2.475993481,,3.693393855,4.926092484,1.361631084,0.880485673,2.908807823,1.476639991,1.767508406,1.440797242,2.333137402,2.111139274,1.017492048,3.881263684,3.245154076,1.164284294,3.101777991,0.402429141,0.853942231,4.599548619,0.927760493,6.374408558,1.966418403,1.686244149,2.464676686,1.776657164,13.16364319,,2.948269124,1.104337197,1.208520728,1.176775989,0.621684662,1.14168438,1.990795735,1.622894859,1.001780137,0.770281511,1.926512241,1.405449937,0.935009009,2.734651312,0.527450336,1.183854378,0.939555406,,,0.895620484,0.905056362,1.337414352,0.519798905,0.973313468,,1.097099878,0.895030335,4.42774502,0.703468668,2.4065917,1.952316116,0.495580104,2.016290821,1.08017166,1.819959303,3.288031902,1.323535116,1.797563121,1.795626466,0.709102095,1.469137261,0.235770523,0.276044207,0.63240677,0.378444667,1.019355212,0.544464718,0.746428523,,0.299278244,0.189289011,0.592328035,0.339892097,0.688494371,0.39174303,0.166432426,0.715280253,0.423479548,,0.172321765,0.202902738,0.546775451,0.720487951,0.581971804,1.68455137,0.750429207,0.334705155,0.267672448,1.21750291,0.44246841,0.463447045,,0.931315236,,0.447625499,0.42380417,0.747793067,1.032374163,0.904628506,,0.490749859,,0.278315933,0.913303156,0.361613644,0.457490616,,0.537684101,1.009840866,0.979614532,0.391006059,0.495815534,0.739885793,0.241584241,0.15331948,0.5556626,1.367962867,,0.556157488,0.547115722,1.515213865,0.408483646,0.273909341,0.206608507,1.068648637,0.499991611,0.291037878,0.632324862,0.984423639,0.792642174,0.895895245,0.558732517,1.448022663,1.004332648,,0.98300365,0.630573499,1.150439362,0.521024401,1.223723197,0.392807441
P0007,4.007212877,1.785758939,1.705689586,1.043275637,1.875223377,1.294047669,1.980782386,1.648753189,6.138966893,1.332311288,1.246961475,2.721820158,0.962421288,3.086672135,,1.629467865,0.491960181,0.717107793,1.055418433,,0.441653108,1.621920186,0.69575302,,1.184361013,1.490818268,0.575002945,0.471707634,0.989239316,,0.798399139,0.856663424,0.99858446,0.685320188,0.397143159,1.524828785,3.810076737,1.440826774,0.899666425,0.494966126,1.056827761,1.382910689,0.961225468,0.224858973,0.239352109,1.758317962,1.605867007,0.513930391,0.291735454,0.704362591,0.794258624,0.522617179,0.824179334,0.684704793,2.151283459,2.63603387,0.364619803,0.362544722,1.254717812,2.005745624,3.663765734,1.271519312,1.858437649,1.011671586,,0.774909834,2.420275035,0.967783387,0.358941948,0.777568149,2.430210183,1.06330213,0.662265958,0.476763827,0.787016147,3.467799632,0.722344597,0.778742085,0.97242043,0.728435786,,2.417033468,1.003366174,,3.149243383,1.491270173,1.982152898,1.496156667,1.864362105,1.37453063,1.353714802,3.120545627,0.995147484,2.130528694,,1.393527862,2.279163203,0.779283435,5.258864111,0.899421615,2.102454599,0.722942678,,,2.314003158,1.248400195,1.571366259,1.765541731,1.189349323,4.017228065,1.355320262,1.947277034,2.856944894,1.805383025,,0.535364173,2.169415054,1.162589207,3.055716115,2.647568033,0.579607866,,1.685762571,0.585125112,1.075468506,0.666295587,0.68621711,0.600458108,0.883540365,0.737369864,0.93742636,1.282398064,1.133063248,0.873551529,0.653390295,0.815761704,0.837748524,0.771491246,0.466081302,,0.924563792,0.385347761,0.908809141,1.219482987,2.552785031,0.734327805,0.599675522,1.447960633,0.436676679,0.448729309,0.81164285,0.8606852,0.606584121,0.333381487,0.407994565,0.753804975,0.361122299,1.918136348,0.139436105,0.89377811,0.229127212,0.066251887,0.177116052,0.297188314,0.340209583,0.395110442,0.346718616,0.406145639,0.167059974,0.233806051,0.28007331,0.412807505,0.547223495,0.274256799,0.272757352,0.694933899,0.324989842,0.358101762,0.256329439,0.428276395,1.03219164,0.542120631,0.314453821,0.244928901,0.123977056,0.252950723,0.176570664,0.309675413,0.398920325,0.235755742,0.169959393,0.22559507,1.256495286,0.187467788,0.620229406,0.592952101,0.241053709,0.377723982,0.205953314,0.363884127
P0008,0.710943287,4.177104344,0.912372528,,1.949668864,0.992427609,6.780198743,2.111621268,4.009799878,3.214000761,1.819930302,4.649403219,1.65346002,3.313032524,2.351743992,1.430980412,1.153079356,1.136894785,1.009481052,0.60414808,0.374309781,1.093645721,1.484692539,0.551098038,1.660721556,0.789973933,0.566148128,1.226722829,0.710034209,3.322080296,,1.278952623,1.124018278,1.666454401,3.252670345,0.821724846,,0.585598429,2.230667742,1.240026118,0.638911382,,0.425862413,1.345021372,1.445648586,0.849446426,1.211991237,0.767927595,1.218702051,2.761990911,1.114135167,0.337048757,0.490908478,2.573059216,,0.614430894,0.471461619,,0.99090302,1.021411619,0.670734457,0.913886096,0.900995663,1.478325677,1.598485304,2.31429666,0.905592897,1.824365731,2.678514007,1.305679371,0.986874928,0.527671274,0.994907495,4.253255558,2.583799156,0.800389706,0.428760589,0.926796003,2.43986897,,0.202308842,0.376193681,0.669313601,0.427664069,0.35017785,1.001898116,1.216810617,,0.934135016,0.632377848,0.344298173,0.842016154,0.695177596,0.866878872,0.616314324,,0.435093714,0.572939126,0.721934916,0.782188325,1.605591348,0.630230743,0.275023362,0.251377676,0.879587212,0.242026792,0.550349805,0.221346527,0.894365447,0.57459433,0.881207005,0.792940001,0.715505444,0.251282017,0.645969647,0.664233258,0.742817353,0.780569633,0.587983429,1.201392961,0.893421992,4.722723575,1.211033318,0.829745341,0.66572781,1.58739577,0.912388067,,1.859358062,0.956740036,0.430948343,,0.531822037,0.630016909,1.494723498,0.787863768,1.245108376,0.999354724,1.744543821,0.920689125,1.459256772,1.214447171,0.355066654,0.583765229,1.275949257,1.681702367,0.440139372,2.185446838,0.843630062,1.185678105,0.811329044,0.980746094,0.812757678,0.8460737,0.58796468,0.697699986,0.754951259,1.14371305,1.577087458,,0.859165563,0.740373096,0.695105971,0.482646793,0.701376202,0.75101567,0.2012301,0.513093913,0.94569036,0.54016784,0.950630153,0.704327518,0.978604155,0.570307686,0.393230567,0.809062483,0.521634812,0.466666543,2.318141207,0.552409597,0.978509127,0.575180016,2.330312528,,,0.485057936,0.622093408,,1.202730038,0.590313816,0.69702029,0.703563486,0.643453123,0.595599276,0.839825474,1.896723226,0.482770499,0.156931038,0.602533181,
P0009,0.936127306,0.863840855,0.858070626,1.620318092,1.080097541,0.693067456,0.792687101,0.290944311,1.116624273,0.931684924,1.041441634,1.248433406,1.79991884,2.822745238,0.146333201,0.189833635,,0.536822839,0.361038783,0.933566548,,0.389269897,0.103747475,0.850601439,0.293238352,0.847141904,0.810896303,0.458947471,0.545479105,0.728479933,0.526807324,1.043902534,1.44392906,0.33701698,0.234025634,0.932662318,,0.244254233,0.545454632,,0.776623702,1.291220915,0.57401922,1.077563979,,0.867882195,0.840662102,0.935747465,1.033832772,1.805188819,1.71048008,0.668518378,1.269630518,0.378880166,0.171881968,1.009336343,1.626844919,1.11905183,0.998644157,0.594874146,0.378549677,0.509771036,0.675672992,0.789824268,0.687923784,0.319353148,0.535840294,0.627087358,0.664472645,2.442538571,2.664346294,0.558342009,0.698225298,0.974978697,1.921860797,0.55859742,0.485480121,0.59275165,,0.298114481,1.544760245,1.252665675,5.281323991,1.724566252,1.682016531,2.194684389,1.439314755,1.609299781,1.153405434,0.581558926,2.052857964,0.847728833,,0.70431598,,,3.371896676,1.555848094,2.231757892,1.266026255,1.034922466,1.322420122,2.955081805,0.972628426,0.985343126,1.46330274,1.31905871,0.801829192,0.848046604,0.774163936,0.548175084,1.358338608,0.549927825,2.534857926,0.376790568,1.531624903,1.548497408,0.961055449,4.86254184,0.969902459,,0.84072997,1.868308489,1.392808348,0.829553372,0.696503339,0.532731311,0.364708115,1.024087366,1.442544817,1.865271533,0.315468981,0.66817496,1.288683644,1.645656875,0.594013457,0.985652213,1.89993007,0.902028355,1.928424418,1.55511437,2.782511919,0.58077712,0.468208907,1.73941482,1.641992644,1.043212064,2.824064645,1.148180107,0.903570081,0.895800078,,0.889524435,0.884274774,0.801748052,2.445321074,0.507736928,0.51734652,0.503601246,0.554250901,1.37625933,1.453243845,1.104064409,1.817037252,0.604991289,1.179865764,1.41763419,1.046018606,1.068006326,0.981072945,2.184587867,0.488475762,1.179339746,0.928650149,,0.730401787,0.572839018,1.400988006,0.590302499,0.884810565,0.553167659,0.678772669,,0.683109784,0.948796459,0.949685935,1.115699565,0.27870773,1.202159324,1.01220388,0.389428604,0.648642334,0.396019332,1.000381253,1.130631092,0.846824404,1.248345939,,0.926785152,1.287909547
P0010,,10.85891001,6.575825525,12.57685231,45.32267842,4.068696261,11.6733236,4.444000716,25.35767217,8.575936986,6.791853136,34.54064401,,17.79698225,25.69020043,4.969523111,2.949631166,5.573330375,4.163284469,1.926577601,2.528186306,2.621402788,3.593871079,3.633624909,,2.645920258,4.155844032,1.136602934,9.282149748,5.282405762,6.728028808,2.698357134,2.302407095,,1.122485942,1.230991892,5.531321314,1.93742091,7.296776442,1.390778401,1.241940671,0.343337214,1.351661017,0.866952224,0.913709329,0.581555536,0.361902113,0.525505675,1.577157005,0.891507344,1.734762214,0.338562677,0.927816763,0.453423463,0.996257635,0.306048309,2.320276341,0.801344273,0.840383647,0.60994097,0.464169371,0.63710523,0.396435007,0.958079775,1.171538904,0.938532327,0.905689667,1.950890454,0.542055253,0.361065844,1.001718799,0.455898841,0.414367801,0.625093665,,1.096245621,1.709957367,0.786964075,0.833391107,0.507936813,0.366326917,0.229634533,0.508870714,0.28136271,,,0.432512625,0.828555644,0.178765427,0.723992148,0.217166145,0.29235194,0.630381671,0.794278967,0.276316527,1.591828313,0.594785164,0.151760063,0.640158621,0.553226445,0.489248558,0.438177055,0.40003504,0.326970973,0.567332386,,0.289738338,0.716300888,0.589143358,0.79202104,0.70609559,0.323021884,0.925065711,0.910700474,0.297784662,0.684230609,0.146132327,,0.337744383,0.471414654,0.305913169,0.911004588,2.183547371,0.522917363,1.966899559,0.790964645,1.138112881,1.731768921,0.380437313,1.833301036,0.728119722,0.914912343,1.297232177,1.046530851,0.839361542,0.747702303,0.807069413,1.263360635,0.245829288,0.485035788,0.950336104,1.801717461,1.90863971,1.038793274,0.319405103,1.001693452,1.134699413,0.905674657,1.084415177,1.307835466,2.170709815,,,0.41655661,1.921313738,1.412112067,0.483823774,,0.847450212,0.784172245,1.561132602,4.419433854,1.785081844,4.086821333,9.452651912,1.726013357,1.436367085,1.272153797,4.682039339,0.866706927,1.421156114,1.4991893,0.798324763,2.608589295,1.406301608,1.40187609,1.366702623,1.636554955,2.859738992,0.446614092,1.257353834,1.767529339,3.819424592,2.719841831,1.315751591,1.524977437,1.292705119,1.355431362,3.830162126,0.662671904,1.427142079,1.953319636,0.971516854,1.845237568,2.782972697,1.309072398,1.825276306,1.702271813,1.627161478,1.987131376
